iter	Passed	Remaining
0	0	91
1	2	107
2	3	100
3	3	93
4	4	90
5	5	88
6	6	86
7	7	84
8	8	82
9	8	80
10	9	77
11	10	76
12	11	74
13	11	72
14	12	70
15	13	69
16	13	67
17	14	66
18	15	64
19	15	63
20	16	61
21	17	60
22	17	59
23	18	58
24	18	56
25	19	55
26	20	54
27	20	53
28	21	51
29	21	50
30	22	49
31	23	48
32	23	48
33	24	47
34	24	46
35	25	45
36	25	44
37	26	43
38	26	42
39	27	41
40	27	40
41	28	38
42	28	37
43	29	37
44	29	36
45	30	35
46	30	34
47	31	33
48	31	32
49	32	32
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	34	27
56	35	26
57	35	26
58	36	25
59	36	24
60	37	23
61	38	23
62	38	22
63	39	21
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	42	18
70	42	17
71	43	16
72	43	16
73	44	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	53	4
92	54	4
93	54	3
94	55	2
95	55	2
96	56	1
97	56	1
98	57	0
99	57	0
